lastName;firstName
Aas; Gregor
Abbott; Edwin A.
Ábelová; Mirka
Abłamowicz; Aleksander
Abramov; Fjodor Alexandrovič
Áč; Peter
Adam; Robert
Adamek; André-Marcel
Adamovič; Ivan
Adams; Angela
Adams; Douglas
Adams; Richard
Adichie; Chimamanda Ngozi
Adler; Hans Günther
Ahern; Cecelia
Ajtmanov; Čingiz
Akbar Omar; Qais
Aklič; Albert
Albrecht; Jan Phillip
Albrightová; Madeleine
Alcott; Louisa May
Alderman; Naomi
Aldington; Richard
Aldiss; Brian Wilson
Alexijevič; Svetlana
Alighieri; Dante
Aljochina; Marija
Allen; Woody
Althusser; Louis
Altmann; Gabriel
Alvarez; Julia
Amado; Jorge
Ambrose; Stephen E.
Amis; Kingsley
Anders; Charlie Jane
Andersen; Hans Christian
Andersen; Sarah
Andersch; Alfred
Anglim; Simon
Anton; Joseph
Apel; Johann August
Apollinaire; Guillaume
Apolloni; Ag
Appelo; Tim
Appignanesi; Richard
Apuleius; Lucius
Aragon; Louis
Arbes; Jakub
Arcangel; Diane
Arendtová; Hannah
Aristotelés; 
Armstrong; Samantha
Arriános;
Arrianos; Flavios
Arsan; Emanuelle
Åsbrink; Elizabeth
Asimov; Isaac
Askani; Tanja
Aškenazy; Ludvík
Atcheson; Jean
Atwood; Margaret
Atzmon; Gilad
Aubenque; Pierre
Aubryová; Cécile
Aulnoy; Marie-Catherine de
Austen; Jane
Austenová; Jane
Auster; Paul
Bacon; Francis
Báez; Fernando
Bahník; Václav
Bach; Emmon
Bach; Richard David
Bachelard; Gaston
Bachrušin; Sergej Vladimirovič
Bailey; Gwen
Baker; Phil
Bakewell; Sarah
Balaštík; Jaroslav
Balážik; Eduard
Ballard; J. G.
Balzac; Honoré de
Bambery; Chris
Bandžuch; Tomáš
Barany; Tamas
Barbusse; Henri
Bardugo; Leigh
Baričák;" Pavel ""Hirax"""
Barnard; Lianne
Barnard; Robert
Barnes; Julian
Barnhill; Kelly
Barron; Laird
Barsamian; David
Bartáková; Eva
Barthelme; Donald
Barthes; Roland
Bartošek; Jaroslav
Bass; Eduard
Baudelaire; Charles
Bauer; Jaroslav
Bauer; Michal
Bauman; Zygmunt
Baumannová; Doris
Baynton-Williams; Ashley
Baynton-Williams; Miles
Bazalová; Bea
Bear; Greg
Beauman; Ned
